,Feed_Benzene,R1 dP,R1 T1,R1 T2,R1 T3,R1 T4,R1 T5,R1 T6,R1 T7,R1 T8,R1 T9,R1 T10,R2 dT1,ISOM_Feed,BENSAT_RECYCLE,Bensat_P,FLASH_VESSEL_pressure_CV_OP,ISOM_H2,Bensat_H2
timestamp,Target,103PDI5603.DACA.PV,103TI5638N.PV,103TI5633N.PV,103TI5639N.PV,103TI5634N.PV,103TI5630N.PV,103TI5635N.PV,103TI5631N.PV,103TI5636N.PV,103TI5632N.PV,103TI5637N.PV,103TI5843N.PV-103TI5836N.PV,103FIC5106N.PIDA.PV,103FI5704.PV,103PIC5711AN.PIDA.PV,103PIC5711BN.PIDA.OP,103FIC5509.PV,103FIC5510N.PIDA.PV
2023-07-01 00:00:00,2.39,1.93,115.47,118.53,117.36,118.34,121.86,123.33,122.8,124.62,126.17,127.14,0.12,108.95,210.01,16.04,41.34,3573.3,1597.77
2023-07-01 04:00:00,2.22,1.89,117.54,120.66,119.53,120.55,124.13,125.6,125.08,126.78,128,128.86,0.19,112.59,210.16,15.94,36.25,3365.21,1598.86
2023-07-01 07:59:59,2.25,1.84,116.49,119.61,118.37,119.37,122.93,124.27,123.7,125.44,126.61,127.57,0.24,112.82,210.24,16.05,27.39,3135.63,1558
2023-07-01 12:00:00,1.96,1.82,117.86,120.95,119.7,120.68,124.16,125.3,124.76,126.34,127.29,128.11,0.05,110.91,210.34,15.76,33.2,3106.14,1665.48
2023-07-01 16:00:00,1.9,1.78,117.98,121.14,119.93,120.9,124.48,125.65,125.05,126.63,127.28,128.09,0.46,110.81,210.28,15.63,26.12,2894.47,1436.21
2023-07-01 19:59:59,2.84,1.78,116.55,119.78,118.98,120.19,123.96,126.01,125.47,127.08,127.37,128.12,3.47,110.28,210.33,15.97,10.36,3177.62,1756.89
2023-07-02 00:00:00,3.01,1.83,114.89,118,117.19,118.35,122.02,124.22,123.72,125.46,126.11,126.85,3.32,110.73,210.18,16.02,16.77,3374.21,1723.24
2023-07-02 04:00:00,2.88,1.84,115.1,118.25,117.37,118.5,122.2,124.31,123.79,125.59,126.37,127.1,2.58,110.67,210.17,16,20.25,3391.6,1643.73
2023-07-02 07:59:59,2.98,1.84,114.97,118.14,117.3,118.44,122.18,124.4,123.86,125.65,126.3,127,3.27,110.9,210.33,16,18.78,3419.93,1704.31
2023-07-02 12:00:00,3.1,1.87,114.71,117.87,117.09,118.25,122,124.35,123.75,125.56,126.18,126.87,4.1,113.08,209.78,16,18.27,3500.09,1751.09
2023-07-02 16:00:00,2.96,1.93,110.87,113.85,112.84,113.87,117.39,119.37,118.82,120.84,122.37,123.24,2.58,112.75,211.01,16.04,25.78,3616.13,1501.58
2023-07-02 19:59:59,3.1,1.88,114.7,117.83,117.02,118.19,121.89,124.2,123.68,125.49,126.22,126.89,3.57,112.78,210.3,15.98,21.65,3537.78,1724.79
2023-07-03 00:00:00,2.95,1.89,114.93,118.06,117.22,118.36,122.05,124.26,123.77,125.57,126.41,127.09,3.02,112.84,210.4,15.99,22.9,3518.43,1679.39
2023-07-03 04:00:00,3.08,1.88,114.56,117.69,116.87,118.03,121.74,124.03,123.52,125.31,126.05,126.74,3.64,112.96,210.33,15.99,20.52,3519.28,1728.15
2023-07-03 07:59:59,3.16,1.87,114.58,117.73,116.94,118.12,121.84,124.19,123.65,125.41,126.04,126.76,4.11,112.98,210.3,16.01,18.56,3507.91,1776.31
2023-07-03 12:00:00,3.13,1.88,114.99,118.12,117.37,118.56,122.27,124.63,124.14,125.82,126.43,127.12,4.09,113.84,210.25,16,18.95,3521.67,1803.04
2023-07-03 16:00:00,3.26,1.95,110.95,113.82,113.05,114.1,117.49,119.71,119.24,121.13,122.41,123.25,4,114.23,213.89,16.04,19.82,3613.13,1669.77
2023-07-03 19:59:59,2,2.03,113.14,115.94,114.76,115.62,118.82,120.01,119.47,121.14,122.59,123.49,0.08,114.08,215.42,16.13,45.33,3581.21,1459.01
2023-07-04 00:00:00,1.22,2.07,117.85,120.76,119.27,120.06,123.29,123.85,123.2,124.59,125.03,125.66,-0.14,114.26,215.25,16.04,55.62,3459.79,1549.24
2023-07-04 04:00:00,0.72,1.82,120.59,123.5,121.89,122.62,125.79,125.81,125.14,126.23,126.1,126.66,-0.16,111.28,213.16,15.93,45.19,2604.29,1662.67
2023-07-04 07:59:59,0.44,1.61,121.12,124.06,122.27,122.98,126.19,125.95,125.15,126.22,125.86,126.46,-0.15,107.74,210.09,16.02,36.2,2046.58,1649.48
2023-07-04 12:00:00,0.33,1.53,121.95,124.95,123.11,123.81,127.03,126.65,125.84,126.84,126.46,127.05,-0.15,105.92,206.68,15.68,32.38,1784.08,1647
2023-07-04 16:00:00,0.4,1.49,121.9,124.86,123.06,123.77,126.95,126.69,125.91,126.92,126.54,127.13,-0.1,104.56,205.23,16.02,27.49,1812.66,1806.61
2023-07-04 19:59:59,0.32,1.48,122.39,125.4,123.56,124.25,127.48,127.11,126.29,127.3,126.92,127.5,-0.14,104.26,203.43,16.01,29.73,1792.27,1760.99
2023-07-05 00:00:00,0.39,1.44,124.5,127.58,125.81,126.56,129.84,129.45,128.68,129.64,129.25,129.81,-0.09,103.86,204.79,15.95,23.34,1715.39,1822.89
2023-07-05 04:00:00,0.37,1.45,124.03,127.06,125.26,126.01,129.21,128.75,127.99,128.89,128.48,129.03,-0.12,103.62,205.19,16.03,26.83,1717.43,1823.77
2023-07-05 07:59:59,0.36,1.45,123.51,126.59,124.78,125.5,128.76,128.33,127.54,128.5,128.09,128.67,-0.12,103.41,205.31,15.98,25.48,1721.22,1816.9
2023-07-05 12:00:00,0.42,1.45,124.31,127.34,125.59,126.37,129.59,129.19,128.46,129.37,129,129.55,-0.14,103.76,205.64,15.99,23.22,1708.36,1849.1
2023-07-05 16:00:00,0.41,1.44,124,127,125.28,126.04,129.23,128.84,128.12,129.02,128.66,129.21,-0.13,104,205.28,15.99,23.09,1704.11,1781.97
2023-07-05 19:59:59,0.41,1.46,122.99,125.95,124.24,124.97,128.14,127.82,127.1,128.04,127.72,128.27,-0.12,107.62,205.44,15.99,20.46,1700.54,1703.13
2023-07-06 00:00:00,0.31,1.5,123.45,126.48,124.67,125.42,128.66,128.26,127.5,128.46,128.1,128.69,-0.13,112.67,205.52,16,20.21,1708,1561.36
2023-07-06 04:00:00,0.32,1.5,121.01,124.01,122.15,122.84,126.08,125.78,124.95,126.04,125.64,126.29,-0.09,112.6,205.39,16.01,19.85,1712.91,1525.81
2023-07-06 07:59:59,0.28,1.5,122.83,125.89,124.02,124.74,128.01,127.61,126.8,127.81,127.43,128.02,-0.14,112.98,205.27,15.98,21.78,1712.54,1570.05
2023-07-06 12:00:00,0.33,1.47,123.09,126.16,124.33,125.08,128.32,127.91,127.14,128.12,127.74,128.33,-0.14,113.76,205.24,15.97,14.55,1625.72,1560.27
2023-07-06 16:00:00,0.35,1.47,123.34,126.37,124.59,125.34,128.6,128.23,127.46,128.46,128.09,128.68,-0.14,113.73,205.22,15.98,13.47,1631.96,1539.3
2023-07-06 19:59:59,0.46,1.49,122.85,125.85,124.13,124.88,128.11,127.86,127.13,128.12,127.82,128.38,-0.12,113.95,205.3,16.02,14.57,1699.39,1543.66
2023-07-07 00:00:00,0.44,1.49,122.95,125.98,124.23,124.99,128.25,127.97,127.23,128.23,127.93,128.49,-0.12,113.95,205.34,16.01,15.06,1705.87,1543.13
2023-07-07 04:00:00,0.4,1.51,123.15,126.18,124.41,125.2,128.42,128.11,127.41,128.37,128.06,128.64,-0.13,114,205.19,16.01,18.69,1743.66,1560.73
2023-07-07 07:59:59,0.47,1.5,122.49,125.47,123.78,124.54,127.74,127.52,126.81,127.8,127.54,128.09,-0.12,113.91,205.32,15.99,16.65,1742.26,1552.24
2023-07-07 12:00:00,0.55,1.54,122.88,125.87,124.24,125.05,128.24,128.08,127.43,128.41,128.19,128.73,-0.12,113.95,205.21,16.06,21.77,1886.41,1565.05
2023-07-07 16:00:00,0.6,1.59,122.01,124.97,123.34,124.14,127.34,127.26,126.6,127.63,127.45,128,-0.12,113.74,205.44,15.77,30.48,2113.26,1646.29
2023-07-07 19:59:59,0.49,1.63,122.56,125.59,123.86,124.67,127.92,127.75,127.05,128.08,127.77,128.38,-0.1,112.98,205.33,16.09,36.95,2153.66,1505.7
2023-07-08 00:00:00,0.68,1.62,122.78,125.9,124.26,125.12,128.49,128.54,127.85,128.97,128.78,129.39,-0.1,112.73,205.46,15.94,32.59,2185.24,1532.65
2023-07-08 04:00:00,0.75,1.61,122.05,125.13,123.52,124.37,127.73,127.82,127.15,128.29,128.15,128.74,-0.12,112.83,205.08,16,31.58,2187.37,1531.62
2023-07-08 07:59:59,0.93,1.6,121.78,124.87,123.4,124.29,127.65,127.93,127.34,128.52,128.56,129.13,-0.11,112.84,205.48,15.95,23.59,2184.16,1562.41
2023-07-08 12:00:00,1.12,1.59,120.2,123.2,121.86,122.78,126.06,126.52,125.98,127.18,127.43,128.01,-0.13,112.86,206.37,16,17.24,2187.03,1526.56
2023-07-08 16:00:00,1.6,1.64,120.02,123.06,122.03,123.05,126.45,127.4,126.99,128.33,129,129.64,-0.03,112.91,206.2,16.13,13.04,2512.99,1537.15
2023-07-08 19:59:59,2.46,1.72,116.48,119.61,118.91,120.08,123.72,125.6,125.2,126.77,127.3,128.08,1.44,112.9,205.37,16.51,10.54,3026.16,1570.68
2023-07-09 00:00:00,3.02,1.81,115.03,118.25,117.56,118.79,122.57,124.9,124.44,126.22,126.7,127.42,2.63,112.88,206.19,16.53,17.42,3439.97,1642.5
2023-07-09 04:00:00,3.01,1.8,115.05,118.26,117.51,118.72,122.49,124.76,124.28,126.1,126.73,127.45,2.22,110.73,206.41,16.51,19.55,3438.76,1624.72
2023-07-09 07:59:59,2.84,1.8,114.51,117.68,116.81,117.96,121.65,123.72,123.23,125.12,126.2,126.96,1.28,108.72,206.37,16.52,24.31,3445.64,1545.75
2023-07-09 12:00:00,2.93,1.81,115.37,118.6,117.8,119.02,122.77,124.97,124.48,126.22,126.73,127.43,2.4,111.21,207.61,16.03,20.87,3374.91,1635.86
2023-07-09 16:00:00,2.68,1.82,115.45,118.57,117.7,118.85,122.43,124.34,123.92,125.62,126.53,127.29,1.3,111.6,208.99,15.98,23.39,3278.39,1546.41
2023-07-09 19:59:59,2.63,1.79,115.26,118.38,117.43,118.57,122.12,123.94,123.49,125.25,126.28,127.12,0.98,108.46,208.24,16.05,24.08,3233.72,1545.77
2023-07-10 00:00:00,2.58,1.78,116.57,119.73,118.84,119.96,123.56,125.34,124.88,126.58,127.61,128.35,0.66,107.74,208.42,15.98,26.75,3232.32,1561.75
2023-07-10 04:00:00,2.66,1.79,116.11,119.28,118.43,119.56,123.19,125.06,124.58,126.28,127.16,127.89,1.09,108.46,208.21,15.97,23.66,3233.75,1604.45
2023-07-10 07:59:59,2.76,1.78,115.4,118.55,117.72,118.86,122.5,124.47,124.02,125.72,126.46,127.21,1.65,109.14,208.51,16,19.83,3230.41,1625.87
2023-07-10 12:00:00,2.83,1.78,115.62,118.74,118,119.16,122.78,124.85,124.42,126.07,126.69,127.4,2.13,109.94,207.75,16,17.5,3240.74,1700
2023-07-10 16:00:00,2.81,1.82,115.45,118.51,117.72,118.88,122.39,124.38,123.99,125.67,126.56,127.28,1.5,109.94,205.38,16.01,21.62,3296.19,1628.34
2023-07-10 19:59:59,2.81,1.79,114.99,118.06,117.29,118.42,121.96,123.99,123.59,125.29,126.14,126.84,1.8,109.8,199.99,16.01,21.04,3288.35,1662.96
2023-07-11 00:00:00,2.68,1.76,115.6,118.74,117.96,119.09,122.72,124.73,124.28,125.98,126.79,127.49,1.57,109.74,195.41,16.02,24.8,3288.23,1643.79
2023-07-11 04:00:00,2.8,1.76,114.93,118.06,117.3,118.45,122.09,124.2,123.74,125.48,126.27,126.95,1.94,109.7,195.2,16.03,23.56,3333.32,1693.21
2023-07-11 07:59:59,2.6,1.77,115.64,118.77,117.92,119.04,122.65,124.6,124.15,125.9,126.93,127.62,1.13,109.75,195.35,16,27.87,3329.3,1668.81
2023-07-11 12:00:00,2.62,1.76,115.65,118.76,117.97,119.12,122.73,124.76,124.33,126.04,126.95,127.62,1.48,109.88,195.24,15.99,26.05,3331.9,1732.42
2023-07-11 16:00:00,2.47,1.77,115.1,118.12,117.29,118.37,121.85,123.71,123.29,125,126.34,127.06,0.71,109.81,195.33,16.04,30.21,3327.78,1623.07
2023-07-11 19:59:59,2.5,1.77,115.85,118.95,118.16,119.27,122.83,124.8,124.35,126.07,127.15,127.82,1.02,109.73,195.34,15.97,29.2,3326.21,1680.25
2023-07-12 00:00:00,2.47,1.78,115.56,118.64,117.8,118.89,122.46,124.36,123.89,125.64,126.82,127.53,0.88,110.72,195.26,16.01,29.04,3328.22,1670.84
2023-07-12 04:00:00,2.6,1.76,115.47,118.62,117.83,118.99,122.63,124.7,124.23,125.98,126.8,127.49,1.65,110.8,195.31,15.98,25.67,3331.41,1709.67
2023-07-12 07:59:59,2.61,1.77,115.34,118.48,117.67,118.81,122.44,124.52,124.05,125.81,126.66,127.33,1.8,110.84,195.17,15.99,24.66,3336,1772.96
2023-07-12 12:00:00,2.64,1.77,115.19,118.3,117.54,118.68,122.29,124.42,123.95,125.69,126.47,127.14,2.06,112.44,195.29,15.98,22.73,3326.68,1761.96
2023-07-12 16:00:00,2.64,1.78,114.91,118,117.27,118.4,121.97,124.12,123.66,125.38,126.21,126.86,2.15,113.76,195.34,16.01,21.33,3320.95,1753.95
2023-07-12 19:59:59,2.67,1.77,115.03,118.13,117.46,118.6,122.21,124.41,123.95,125.62,126.33,126.95,2.44,113.21,195.27,15.99,20.29,3309.74,1751.03
2023-07-13 00:00:00,2.62,1.76,115.48,118.61,117.88,119.06,122.71,124.86,124.39,126.07,126.73,127.39,2.29,113.3,195.45,16,20.98,3300.14,1708.01
2023-07-13 04:00:00,2.79,1.75,116.28,119.51,118.85,120.11,123.86,126.15,125.66,127.22,127.54,128.17,3.35,113.24,195.32,15.98,18.37,3311.09,1827.76
2023-07-13 07:59:59,2.7,1.76,115.74,118.94,118.17,119.4,123.13,125.34,124.85,126.51,126.99,127.68,2.82,113.28,195.28,16.01,19.78,3316.62,1774.92
